[2025-03-02 16:48:45] Received scan results from client 151
Invalid Props Reported by Client:
1. Category: Lights | Object: V_44_D_emis | Name: Light 36
2. Category: Lights | Object: apa_mp_h_lit_floorlamp_04 | Name: Light 39
3. Category: Lights | Object: hei_heist_lit_lamptable_05 | Name: Light 43
4. Category: Details | Object: v_20_ornaeagle | Name: Figurine adelaar
5. Category: Storage | Object: v_61_lng_mesh_unitc | Name: Bookcase white
6. Category: Bathroom | Object: prop_sink_03 | Name: Sink 5
7. Category: Walldecoration | Object: apa_mp_stilts_bed_art | Name: 3d art
8. Category: Walldecoration | Object: apa_mp_stilts_a_study_pics | Name: Paintingen
Starting furniture analysis from ak47_housing table...
=== Global Prop Usage Summary ===
Prop: prop_wall_light_15a | Used: 79 times
Prop: vw_prop_casino_art_grenade_01d | Used: 14 times
Prop: v_res_d_dildo_b | Used: 9 times
Prop: v_res_d_bed | Used: 1 times
Prop: p_mbbed_s | Used: 7 times
Prop: prop_beer_neon_03 | Used: 39 times
Prop: prop_poolball_cue | Used: 4 times
Prop: ex_prop_offchair_exec_02 | Used: 16 times
Prop: prop_bush_ornament_04 | Used: 6 times
Prop: apa_mp_h_lit_lamptable_09 | Used: 44 times
Prop: ex_mp_h_acc_vase_05 | Used: 17 times
Prop: v_ret_gc_lamp | Used: 2 times
Prop: apa_mp_h_stn_chairarm_23 | Used: 9 times
Prop: apa_mp_h_floorlamp_c | Used: 29 times
Prop: ba_prop_battle_lights_ceiling_l_f | Used: 58 times
Prop: prop_yacht_table_03 | Used: 2 times
Prop: v_res_m_sidetable | Used: 3 times
Prop: hei_heist_stn_sofacorn_06 | Used: 1 times
Prop: prop_snow_tree_04_f | Used: 1 times
Prop: prop_joshua_tree_02d | Used: 1 times
Prop: hei_heist_lit_floorlamp_04 | Used: 1 times
Prop: vw_prop_vw_wallart_171a | Used: 5 times
Prop: prop_j_disptray_05 | Used: 7 times
Prop: bkr_prop_clubhouse_jukebox_01b | Used: 1 times
Prop: w_sb_microsmg | Used: 39 times
Prop: prop_ff_sink_02 | Used: 7 times
Prop: v_res_r_fighorsestnd | Used: 27 times
Prop: prop_exercisebike | Used: 11 times
Prop: bkr_prop_meth_ammonia | Used: 1 times
Prop: ba_prop_battle_lights_ceiling_l_c | Used: 41 times
Prop: prop_towel_rail_02 | Used: 13 times
Prop: prop_w_me_hatchet | Used: 12 times
Prop: prop_mouse_01 | Used: 1 times
Prop: apa_mp_h_str_sideboardl_13 | Used: 27 times
Prop: apa_mp_h_stn_sofacorn_10 | Used: 47 times
Prop: xm_prop_base_staff_desk_01 | Used: 83 times
Prop: prop_micro_04 | Used: 7 times
Prop: prop_pot_plant_05a | Used: 63 times
Prop: vw_prop_vw_wallart_06a | Used: 12 times
Prop: apa_mp_h_lit_lamptable_14 | Used: 3 times
Prop: ch_prop_vault_painting_01h | Used: 7 times
Prop: apa_mp_h_lit_lamptablenight_24 | Used: 15 times
Prop: vw_prop_casino_art_mod_03a_a | Used: 4 times
Prop: vw_prop_vw_wallart_96a | Used: 1 times
Prop: p_watch_03 | Used: 5 times
Prop: v_res_fa_potsug | Used: 25 times
Prop: vw_prop_vw_wallart_19a | Used: 9 times
Prop: bkr_prop_clubhouse_sofa_01a | Used: 30 times
Prop: apa_mp_h_din_chair_04 | Used: 55 times
Prop: prop_armchair_01 | Used: 1 times
Prop: prop_plant_int_01b | Used: 11 times
Prop: apa_mp_h_acc_vase_flowers_02 | Used: 8 times
Prop: prop_bush_neat_08 | Used: 171 times
Prop: xm_prop_lab_desk_01 | Used: 17 times
Prop: v_ret_ta_skull | Used: 10 times
Prop: prop_cs_kitchen_cab_r | Used: 7 times
Prop: prop_poolball_7 | Used: 1 times
Prop: vw_prop_vw_wallart_137a | Used: 6 times
Prop: apa_mp_h_stn_chairarm_25 | Used: 10 times
Prop: prop_bush_neat_05 | Used: 18 times
Prop: vw_prop_vw_wallart_53a | Used: 1 times
Prop: prop_pot_plant_01c | Used: 3 times
Prop: bkr_prop_coke_cracktray_01 | Used: 1 times
Prop: v_ilev_mm_fridgeint | Used: 3 times
Prop: vw_prop_casino_art_car_07a | Used: 3 times
Prop: p_ld_soc_ball_01 | Used: 8 times
Prop: prop_tv_flat_02b | Used: 10 times
Prop: prop_tree_stump_01 | Used: 8 times
Prop: v_res_tre_tvstand | Used: 42 times
Prop: prop_bottle_brandy | Used: 71 times
Prop: prop_pot_plant_01a | Used: 13 times
Prop: apa_p_h_acc_artwalll_01 | Used: 9 times
Prop: hei_heist_str_sideboardl_02 | Used: 9 times
Prop: prop_npc_phone_02 | Used: 1 times
Prop: v_serv_tu_light2_ | Used: 1 times
Prop: prop_turkey_leg_01 | Used: 4 times
Prop: prop_bush_neat_01 | Used: 11 times
Prop: bkr_prop_biker_barstool_03 | Used: 21 times
Prop: vw_prop_vw_wallart_101a | Used: 1 times
Prop: ba_prop_battle_lights_ceiling_l_a | Used: 264 times
Prop: v_res_fa_ketchup | Used: 3 times
Prop: vw_prop_vw_wallart_71a | Used: 28 times
Prop: v_ilev_mm_faucet | Used: 20 times
Prop: ch_prop_ch_lamp_ceiling_04a | Used: 22 times
Prop: h4_prop_h4_weed_stack_01a | Used: 8 times
Prop: apa_mp_h_yacht_table_lamp_01 | Used: 5 times
Prop: v_res_fa_grater | Used: 10 times
Prop: xm_base_cia_lamp_ceiling_02a | Used: 1 times
Prop: v_res_m_lampstand2 | Used: 25 times
Prop: prop_recycle_light | Used: 6 times
Prop: prop_j_disptray_04b | Used: 3 times
Prop: prop_wall_light_18a | Used: 37 times
Prop: prop_plant_int_02a | Used: 11 times
Prop: bkr_prop_bkr_cash_scatter_01 | Used: 28 times
Prop: vw_prop_casino_art_plant_12a | Used: 12 times
Prop: w_sb_assaultsmg_mag2 | Used: 9 times
Prop: v_club_officechair | Used: 24 times
Prop: apa_mp_h_str_avunitl_04 | Used: 29 times
Prop: p_int_jewel_plant_02 | Used: 12 times
Prop: v_res_mplinth | Used: 6 times
Prop: ba_prop_battle_lights_wall_l_b | Used: 255 times
Prop: v_club_vumakeupbrsh | Used: 4 times
Prop: ba_prop_battle_dj_kit_mixer | Used: 4 times
Prop: apa_mp_h_stn_chairarm_12 | Used: 18 times
Prop: vw_prop_casino_art_bird_01a | Used: 14 times
Prop: vw_prop_vw_wallart_167a | Used: 8 times
Prop: prop_shower_towel | Used: 1 times
Prop: gr_prop_gr_laptop_01c | Used: 8 times
Prop: hei_prop_hei_pic_hl_valkyrie | Used: 3 times
Prop: hei_prop_heist_pic_10 | Used: 2 times
Prop: p_tumbler_cs2_s | Used: 84 times
Prop: vw_prop_vw_wallart_73a | Used: 2 times
Prop: apa_mp_h_acc_artwalll_03 | Used: 65 times
Prop: v_res_foodjarb | Used: 31 times
Prop: prop_cash_case_01 | Used: 8 times
Prop: prop_couch_sm_06 | Used: 1 times
Prop: hei_heist_str_avunitl_03 | Used: 9 times
Prop: hei_heist_din_chair_05 | Used: 1 times
Prop: v_med_examlight | Used: 3 times
Prop: prop_cs_fork | Used: 10 times
